model_label,stable_image_key,condition_label,image_region,safe,lively,wealthy,beautiful,boring,depressing
GPT-5.2,row_323,ENA,LAC,48,12,22,28,74,55
GPT-5.2,row_324,NEU,LAC,62,18,44,52,73,35
GPT-5.2,row_324,NAWA,LAC,68,18,42,55,72,35
GPT-5.2,row_324,CSA,LAC,70,20,45,55,75,35
GPT-5.2,row_324,ESEA,LAC,62,18,40,45,72,38
GPT-5.2,row_324,ENA,LAC,62,22,38,46,68,40
GPT-5.2,row_324,OCE,LAC,68,18,42,46,64,34
GPT-5.2,row_324,LAC,LAC,62,18,40,45,72,35
GPT-5.2,row_325,SSA,LAC,72,18,32,58,74,28
GPT-5.2,row_325,NEU,LAC,67,18,28,55,74,30
GPT-5.2,row_325,CSA,LAC,62,18,28,60,66,32
GPT-5.2,row_325,NAWA,LAC,63,18,30,58,72,28
GPT-5.2,row_325,OCE,LAC,72,18,28,60,74,22
GPT-5.2,row_325,LAC,LAC,68,18,28,62,74,32
GPT-5.2,row_325,ESEA,LAC,72,18,34,62,74,28
GPT-5.2,row_325,ENA,LAC,60,15,25,55,70,30
GPT-5.2,row_326,NEU,LAC,62,32,45,48,66,44
GPT-5.2,row_326,CSA,LAC,62,48,55,44,66,46
GPT-5.2,row_326,ESEA,LAC,62,55,48,52,63,42
GPT-5.2,row_326,SSA,LAC,70,55,60,45,50,30
GPT-5.2,row_326,NAWA,LAC,68,52,45,40,65,42
GPT-5.2,row_326,LAC,LAC,62,48,45,38,60,46
GPT-5.2,row_327,SSA,LAC,70,35,45,40,65,35
GPT-5.2,row_327,NEU,LAC,62,35,42,38,64,44
GPT-5.2,row_326,ENA,LAC,58,55,52,46,62,44
GPT-5.2,row_326,OCE,LAC,62,48,50,42,66,44
GPT-5.2,row_327,NAWA,LAC,70,35,55,40,65,35
GPT-5.2,row_327,CSA,LAC,72,40,52,44,58,28
GPT-5.2,row_327,LAC,LAC,68,42,55,45,62,32
GPT-5.2,row_327,ESEA,LAC,68,28,48,42,70,34
GPT-5.2,row_327,ENA,LAC,62,28,44,38,67,46
GPT-5.2,row_327,OCE,LAC,68,38,52,34,66,42
GPT-5.2,row_328,SSA,LAC,70,15,55,35,80,45
GPT-5.2,row_328,NEU,LAC,62,18,45,32,78,54
GPT-5.2,row_328,NAWA,LAC,62,12,38,30,78,48
GPT-5.2,row_328,ESEA,LAC,62,12,48,28,78,55
GPT-5.2,row_328,OCE,LAC,62,15,48,28,78,55
GPT-5.2,row_328,LAC,LAC,62,12,38,28,78,52
GPT-5.2,row_328,ENA,LAC,55,15,35,30,80,55
GPT-5.2,row_328,CSA,LAC,62,18,55,32,78,52
GPT-5.2,row_329,NEU,LAC,55,15,20,60,75,30
GPT-5.2,row_329,SSA,LAC,62,18,22,55,64,28
GPT-5.2,row_329,NAWA,LAC,62,18,20,55,66,28
GPT-5.2,row_329,CSA,LAC,62,20,18,48,72,34
GPT-5.2,row_329,LAC,LAC,58,12,22,55,78,30
GPT-5.2,row_329,ESEA,LAC,72,18,22,56,64,28
GPT-5.2,row_329,OCE,LAC,60,15,20,55,70,35
GPT-5.2,row_330,NEU,LAC,58,18,32,26,78,55
GPT-5.2,row_330,SSA,LAC,62,18,35,28,78,55
GPT-5.2,row_329,ENA,LAC,55,18,20,50,72,30
GPT-5.2,row_330,ESEA,LAC,52,18,34,28,76,55
GPT-5.2,row_330,LAC,LAC,62,18,35,28,78,46
GPT-5.2,row_330,OCE,LAC,55,15,30,25,75,55
GPT-5.2,row_330,CSA,LAC,62,18,35,28,74,52
GPT-5.2,row_331,SSA,LAC,62,18,38,34,72,46
GPT-5.2,row_331,NEU,LAC,55,15,35,25,70,45
GPT-5.2,row_330,ENA,LAC,55,15,35,25,75,55
GPT-5.2,row_331,NAWA,LAC,62,18,45,32,74,48
GPT-5.2,row_331,CSA,LAC,62,18,45,32,74,52
GPT-5.2,row_331,OCE,LAC,55,18,35,30,72,48
GPT-5.2,row_331,LAC,LAC,55,20,35,40,75,55
GPT-5.2,row_331,ESEA,LAC,58,18,42,34,74,55
GPT-5.2,row_332,NEU,LAC,70,25,40,55,70,30
GPT-5.2,row_332,SSA,LAC,78,22,45,58,66,24
GPT-5.2,row_331,ENA,LAC,62,18,38,32,72,45
GPT-5.2,row_332,NAWA,LAC,72,18,38,55,74,28
GPT-5.2,row_332,CSA,LAC,72,18,38,55,70,28
GPT-5.2,row_332,OCE,LAC,72,18,38,55,68,22
GPT-5.2,row_332,LAC,LAC,72,22,38,58,67,28
GPT-5.2,row_332,ENA,LAC,68,22,35,55,72,34
GPT-5.2,row_332,ESEA,LAC,72,18,34,55,76,24
GPT-5.2,row_333,NEU,LAC,62,18,32,55,74,38
GPT-5.2,row_333,SSA,LAC,62,28,38,57,66,34
GPT-5.2,row_333,NAWA,LAC,63,18,32,55,70,35
GPT-5.2,row_333,ESEA,LAC,62,18,36,55,74,32
GPT-5.2,row_334,NEU,LAC,78,24,55,82,58,12
GPT-5.2,row_333,ENA,LAC,62,22,34,55,68,42
GPT-5.2,row_333,OCE,LAC,64,18,38,57,66,34
GPT-5.2,row_333,LAC,LAC,62,18,32,55,68,34
GPT-5.2,row_333,CSA,LAC,72,22,35,58,70,32
GPT-5.2,row_334,NAWA,LAC,74,26,58,80,62,18
GPT-5.2,row_334,SSA,LAC,78,28,55,80,52,18
GPT-5.2,row_334,CSA,LAC,78,32,62,84,55,18
GPT-5.2,row_334,OCE,LAC,72,38,52,78,58,18
GPT-5.2,row_334,ESEA,LAC,72,22,48,74,63,18
GPT-5.2,row_334,ENA,LAC,78,28,55,82,52,18
GPT-5.2,row_334,LAC,LAC,78,22,55,82,58,18
GPT-5.2,row_335,SSA,LAC,72,20,45,58,70,28
GPT-5.2,row_335,NEU,LAC,62,20,38,55,72,32
GPT-5.2,row_335,NAWA,LAC,62,22,35,48,66,28
GPT-5.2,row_335,CSA,LAC,67,22,46,55,62,28
GPT-5.2,row_335,ESEA,LAC,67,22,40,52,68,33
GPT-5.2,row_335,OCE,LAC,72,22,38,55,68,30
GPT-5.2,row_336,SSA,LAC,58,28,32,45,62,38
GPT-5.2,row_335,ENA,LAC,62,18,38,55,70,28
GPT-5.2,row_336,NEU,LAC,62,25,28,40,68,42
GPT-5.2,row_335,LAC,LAC,67,22,38,55,70,28
GPT-5.2,row_336,NAWA,LAC,62,28,22,40,58,44
GPT-5.2,row_336,ESEA,LAC,62,28,30,46,64,44
GPT-5.2,row_336,CSA,LAC,62,22,28,38,67,42
GPT-5.2,row_336,OCE,LAC,62,22,28,45,70,48
GPT-5.2,row_337,NEU,LAC,68,22,34,40,72,32
GPT-5.2,row_336,LAC,LAC,58,22,28,35,66,44
GPT-5.2,row_337,SSA,LAC,63,22,38,45,72,28
GPT-5.2,row_336,ENA,LAC,55,22,28,40,72,48
GPT-5.2,row_337,NAWA,LAC,67,22,34,46,66,32
GPT-5.2,row_337,CSA,LAC,68,22,38,44,72,28
GPT-5.2,row_337,ESEA,LAC,62,22,38,47,66,34
GPT-5.2,row_337,OCE,LAC,66,18,36,44,72,34
GPT-5.2,row_337,ENA,LAC,62,22,35,44,68,34
GPT-5.2,row_337,LAC,LAC,62,22,33,46,68,34
GPT-5.2,row_338,NEU,LAC,60,20,35,45,65,40
GPT-5.2,row_338,ESEA,LAC,62,18,32,46,74,41
GPT-5.2,row_338,CSA,LAC,62,18,40,45,72,38
GPT-5.2,row_338,NAWA,LAC,62,18,38,54,72,33
GPT-5.2,row_339,NEU,LAC,45,15,20,30,70,55
GPT-5.2,row_338,OCE,LAC,65,20,30,45,70,35
GPT-5.2,row_338,LAC,LAC,62,18,35,46,74,40
GPT-5.2,row_338,ENA,LAC,60,20,35,40,70,45
GPT-5.2,row_339,SSA,LAC,52,18,22,30,72,58
GPT-5.2,row_339,NAWA,LAC,45,15,25,20,75,60
GPT-5.2,row_339,CSA,LAC,52,15,22,28,74,58
GPT-5.2,row_339,ESEA,LAC,45,15,20,25,70,65
GPT-5.2,row_339,OCE,LAC,45,15,20,25,70,60
GPT-5.2,row_339,LAC,LAC,42,15,22,25,70,62
GPT-5.2,row_339,ENA,LAC,45,12,18,22,70,62
GPT-5.2,row_340,NEU,LAC,62,18,22,55,72,38
GPT-5.2,row_340,SSA,LAC,62,18,22,55,68,34
GPT-5.2,row_340,NAWA,LAC,62,18,22,55,72,38
GPT-5.2,row_340,LAC,LAC,62,18,24,58,72,34
GPT-5.2,row_340,CSA,LAC,62,20,28,55,72,35
GPT-5.2,row_340,ESEA,LAC,60,18,22,55,74,42
GPT-5.2,row_340,OCE,LAC,62,18,24,55,70,38
GPT-5.2,row_340,ENA,LAC,55,20,25,50,70,35
GPT-5.2,row_341,NEU,LAC,82,28,78,62,67,22
GPT-5.2,row_341,SSA,LAC,82,18,86,68,64,22
GPT-5.2,row_341,NAWA,LAC,78,22,80,62,68,24
GPT-5.2,row_341,OCE,LAC,82,28,78,62,68,22
GPT-5.2,row_341,ESEA,LAC,82,28,78,68,62,24
GPT-5.2,row_341,ENA,LAC,78,28,82,66,64,32
GPT-5.2,row_341,CSA,LAC,82,28,78,62,64,22
GPT-5.2,row_342,NEU,LAC,45,20,25,35,60,55
GPT-5.2,row_341,LAC,LAC,82,28,85,72,65,22
GPT-5.2,row_342,CSA,LAC,55,22,28,35,62,48
GPT-5.2,row_342,ESEA,LAC,55,25,20,30,65,55
GPT-5.2,row_342,LAC,LAC,42,28,25,30,62,48
GPT-5.2,row_342,NAWA,LAC,48,22,28,30,62,55
GPT-5.2,row_342,OCE,LAC,45,20,25,35,65,55
GPT-5.2,row_343,NEU,LAC,55,25,30,35,60,50
GPT-5.2,row_342,ENA,LAC,45,25,20,25,55,60
GPT-5.2,row_343,LAC,LAC,58,22,35,38,72,46
GPT-5.2,row_343,NAWA,LAC,55,25,35,30,60,50
GPT-5.2,row_343,ESEA,LAC,62,28,34,32,67,48
GPT-5.2,row_343,CSA,LAC,55,25,30,35,65,55
GPT-5.2,row_343,OCE,LAC,55,25,35,30,65,55
GPT-5.2,row_343,ENA,LAC,56,22,34,30,68,52
GPT-5.2,row_344,SSA,LAC,45,20,30,35,70,55
GPT-5.2,row_344,NEU,LAC,45,20,30,25,65,55
GPT-5.2,row_344,ESEA,LAC,45,20,25,30,70,60
GPT-5.2,row_344,CSA,LAC,45,20,25,30,70,55
GPT-5.2,row_344,NAWA,LAC,42,18,22,28,62,55
GPT-5.2,row_344,OCE,LAC,42,18,22,28,67,58
GPT-5.2,row_344,LAC,LAC,38,22,28,30,62,58
GPT-5.2,row_345,NAWA,LAC,65,20,35,55,70,30
GPT-5.2,row_344,ENA,LAC,42,18,28,32,62,55
GPT-5.2,row_345,NEU,LAC,68,18,32,55,72,30
GPT-5.2,row_345,CSA,LAC,68,18,35,52,74,28
GPT-5.2,row_345,ESEA,LAC,70,15,35,55,75,25
GPT-5.2,row_345,LAC,LAC,62,18,28,46,67,33
GPT-5.2,row_345,OCE,LAC,68,22,34,52,70,32
GPT-5.2,row_346,NEU,LAC,58,12,28,22,78,55
GPT-5.2,row_346,SSA,LAC,55,15,35,25,80,55
GPT-5.2,row_346,NAWA,LAC,55,15,30,25,80,55
GPT-5.2,row_346,CSA,LAC,68,12,32,28,78,46
GPT-5.2,row_345,ENA,LAC,62,18,35,52,72,28
GPT-5.2,row_346,LAC,LAC,55,15,30,25,75,55
GPT-5.2,row_346,ESEA,LAC,58,12,32,22,78,52
GPT-5.2,row_346,OCE,LAC,58,12,28,22,76,54
GPT-5.2,row_347,SSA,LAC,58,22,32,46,63,38
GPT-5.2,row_346,ENA,LAC,52,12,28,20,82,62
GPT-5.2,row_347,NEU,LAC,55,25,35,40,70,45
GPT-5.2,row_347,NAWA,LAC,62,28,32,38,67,48
GPT-5.2,row_347,CSA,LAC,58,28,34,40,62,45
GPT-5.2,row_347,LAC,LAC,55,25,35,40,70,45
GPT-5.2,row_347,OCE,LAC,62,28,35,46,68,44
GPT-5.2,row_347,ESEA,LAC,55,25,35,45,65,40
GPT-5.2,row_348,SSA,LAC,60,30,25,35,65,45
GPT-5.2,row_348,NEU,LAC,52,28,30,34,62,55
GPT-5.2,row_347,ENA,LAC,52,25,32,38,65,48
GPT-5.2,row_348,CSA,LAC,58,24,30,36,72,46
GPT-5.2,row_348,NAWA,LAC,56,28,22,30,62,45
GPT-5.2,row_348,ESEA,LAC,55,25,30,35,70,55
GPT-5.2,row_348,OCE,LAC,55,35,25,30,60,45
GPT-5.2,row_348,LAC,LAC,52,28,30,35,58,49
GPT-5.2,row_349,NEU,LAC,60,20,35,45,75,40
GPT-5.2,row_349,SSA,LAC,68,22,34,48,72,36
GPT-5.2,row_349,NAWA,LAC,62,18,30,45,72,44
GPT-5.2,row_348,ENA,LAC,55,25,30,28,70,58
GPT-5.2,row_349,CSA,LAC,62,22,35,46,71,38
GPT-5.2,row_349,ESEA,LAC,62,18,32,46,74,44
GPT-5.2,row_349,OCE,LAC,62,18,30,46,72,44
GPT-5.2,row_349,LAC,LAC,62,18,34,46,72,40
GPT-5.2,row_350,SSA,LAC,68,22,38,55,72,28
GPT-5.2,row_349,ENA,LAC,62,18,32,44,74,46
GPT-5.2,row_350,CSA,LAC,72,22,38,58,66,28
GPT-5.2,row_350,NEU,LAC,70,20,35,55,70,25
GPT-5.2,row_350,NAWA,LAC,70,25,40,60,65,25
GPT-5.2,row_350,OCE,LAC,72,22,40,58,67,24
GPT-5.2,row_350,ESEA,LAC,72,22,34,58,68,28
GPT-5.2,row_350,LAC,LAC,68,22,28,55,66,30
GPT-5.2,row_351,NEU,LAC,35,20,25,20,65,70
GPT-5.2,row_351,SSA,LAC,45,25,30,20,65,70
GPT-5.2,row_350,ENA,LAC,65,20,35,55,70,25
GPT-5.2,row_351,NAWA,LAC,45,25,20,18,65,70
GPT-5.2,row_351,CSA,LAC,42,20,25,18,70,65
GPT-5.2,row_351,ESEA,LAC,38,22,18,20,68,72
GPT-5.2,row_351,OCE,LAC,42,18,20,15,62,74
GPT-5.2,row_351,LAC,LAC,45,20,25,20,70,75
GPT-5.2,row_351,ENA,LAC,35,20,25,15,65,75
GPT-5.2,row_352,NEU,LAC,72,18,46,52,74,28
GPT-5.2,row_352,NAWA,LAC,72,18,55,50,68,32
GPT-5.2,row_352,ESEA,LAC,72,18,55,44,76,36
GPT-5.2,row_352,CSA,LAC,72,18,52,44,74,32
GPT-5.2,row_352,SSA,LAC,72,18,55,50,74,32
GPT-5.2,row_352,OCE,LAC,72,18,46,44,74,32
GPT-5.2,row_352,LAC,LAC,68,18,52,45,72,38
GPT-5.2,row_352,ENA,LAC,72,18,52,46,74,38
GPT-5.2,row_353,SSA,LAC,72,48,38,58,55,28
GPT-5.2,row_353,NEU,LAC,70,35,30,55,60,35
GPT-5.2,row_353,ESEA,LAC,68,32,38,55,62,34
GPT-5.2,row_353,CSA,LAC,68,32,40,55,62,38
GPT-5.2,row_353,NAWA,LAC,68,35,42,55,62,38
GPT-5.2,row_353,OCE,LAC,68,42,38,55,62,35
GPT-5.2,row_353,ENA,LAC,68,32,38,55,62,34
GPT-5.2,row_353,LAC,LAC,67,35,38,56,62,34
GPT-5.2,row_354,NEU,LAC,62,25,45,55,68,38
GPT-5.2,row_354,NAWA,LAC,68,22,46,52,64,33
GPT-5.2,row_354,CSA,LAC,68,28,45,52,62,34
GPT-5.2,row_354,ESEA,LAC,68,30,45,52,70,32
GPT-5.2,row_354,SSA,LAC,68,28,55,52,66,36
GPT-5.2,row_354,OCE,LAC,62,28,45,52,67,38
GPT-5.2,row_354,LAC,LAC,62,28,45,52,67,41
GPT-5.2,row_354,ENA,LAC,68,32,45,54,66,38
GPT-5.2,row_355,SSA,LAC,68,22,40,55,70,28
GPT-5.2,row_355,ESEA,LAC,62,20,35,46,74,38
GPT-5.2,row_355,OCE,LAC,62,18,34,46,74,38
GPT-5.2,row_355,NEU,LAC,62,18,35,42,72,40
GPT-5.2,row_355,CSA,LAC,62,18,38,50,68,36
GPT-5.2,row_355,LAC,LAC,58,20,35,42,70,38
GPT-5.2,row_355,ENA,LAC,62,18,32,40,72,44
GPT-5.2,row_356,NEU,LAC,45,25,20,35,65,55
GPT-5.2,row_356,CSA,LAC,55,30,25,35,60,55
GPT-5.2,row_356,ESEA,LAC,52,28,22,34,62,55
GPT-5.2,row_356,LAC,LAC,45,28,20,35,62,58
GPT-5.2,row_356,OCE,LAC,42,22,18,30,63,55
GPT-5.2,row_357,SSA,LAC,55,15,35,20,75,45
GPT-5.2,row_357,NEU,LAC,55,20,35,15,75,55
GPT-5.2,row_356,ENA,LAC,45,28,22,35,55,52
GPT-5.2,row_357,NAWA,LAC,55,15,35,20,75,50
GPT-5.2,row_357,ESEA,LAC,55,15,35,20,75,55
GPT-5.2,row_357,CSA,LAC,62,18,32,20,74,55
GPT-5.2,row_357,OCE,LAC,58,18,32,22,78,54
GPT-5.2,row_357,LAC,LAC,55,20,35,25,75,55
GPT-5.2,row_357,ENA,LAC,55,15,30,20,75,55
GPT-5.2,row_358,NEU,LAC,62,18,34,55,72,38
GPT-5.2,row_358,CSA,LAC,62,18,38,55,72,34
GPT-5.2,row_358,SSA,LAC,63,18,32,55,70,28
GPT-5.2,row_358,ESEA,LAC,68,22,35,55,74,30
GPT-5.2,row_358,NAWA,LAC,62,18,35,58,72,28
GPT-5.2,row_358,ENA,LAC,62,18,35,58,72,34
GPT-5.2,row_358,OCE,LAC,62,18,34,55,72,28
GPT-5.2,row_359,NEU,LAC,62,18,22,58,72,38
GPT-5.2,row_358,LAC,LAC,62,18,32,55,74,36
GPT-5.2,row_359,SSA,LAC,62,18,22,58,72,34
GPT-5.2,row_359,NAWA,LAC,62,18,22,55,70,35
GPT-5.2,row_359,ESEA,LAC,62,18,24,58,64,34
GPT-5.2,row_359,CSA,LAC,62,18,24,58,67,34
GPT-5.2,row_359,OCE,LAC,62,18,22,55,68,34
GPT-5.2,row_359,ENA,LAC,55,20,25,60,65,35
GPT-5.2,row_359,LAC,LAC,60,20,25,55,65,35
GPT-5.2,row_360,NEU,LAC,62,18,28,46,76,34
GPT-5.2,row_360,NAWA,LAC,63,18,28,44,72,39
GPT-5.2,row_360,SSA,LAC,68,18,30,42,72,38
GPT-5.2,row_360,CSA,LAC,62,18,28,46,74,34
GPT-5.2,row_360,OCE,LAC,67,18,28,46,72,34
GPT-5.2,row_360,ESEA,LAC,62,18,28,44,76,36
GPT-5.2,row_360,ENA,LAC,62,18,28,44,74,46
GPT-5.2,row_360,LAC,LAC,63,18,28,42,74,38
GPT-5.2,row_361,NEU,LAC,55,20,25,35,65,45
GPT-5.2,row_361,CSA,LAC,55,20,25,35,70,55
GPT-5.2,row_361,NAWA,LAC,58,22,24,38,74,46
GPT-5.2,row_361,LAC,LAC,55,20,18,32,68,52
GPT-5.2,row_361,OCE,LAC,55,20,25,35,65,50
GPT-5.2,row_361,ENA,LAC,55,20,25,40,70,55
GPT-5.2,row_361,ESEA,LAC,58,22,28,42,66,55
GPT-5.2,row_362,CSA,LAC,62,18,32,44,72,46
GPT-5.2,row_362,NEU,LAC,58,15,30,32,72,48
GPT-5.2,row_362,NAWA,LAC,62,18,28,34,72,46
GPT-5.2,row_362,ENA,LAC,62,18,32,38,74,46
GPT-5.2,row_362,ESEA,LAC,62,18,28,42,70,46
GPT-5.2,row_362,OCE,LAC,62,18,36,42,68,44
GPT-5.2,row_363,NEU,LAC,45,15,25,30,75,60
GPT-5.2,row_362,LAC,LAC,58,18,32,40,72,46
GPT-5.2,row_363,NAWA,LAC,54,18,30,38,72,58
GPT-5.2,row_363,SSA,LAC,42,15,25,30,70,60
GPT-5.2,row_363,CSA,LAC,55,20,30,25,75,60
GPT-5.2,row_363,OCE,LAC,55,18,30,35,72,58
GPT-5.2,row_363,ESEA,LAC,55,15,25,30,70,60
GPT-5.2,row_363,LAC,LAC,42,12,30,28,74,58
GPT-5.2,row_363,ENA,LAC,44,12,18,28,72,58
GPT-5.2,row_364,NEU,LAC,68,22,38,45,70,42
GPT-5.2,row_364,CSA,LAC,72,25,40,48,72,45
GPT-5.2,row_364,OCE,LAC,63,24,38,46,72,52
GPT-5.2,row_364,NAWA,LAC,68,22,40,48,72,34
GPT-5.2,row_364,ESEA,LAC,68,22,38,44,72,34
GPT-5.2,row_364,LAC,LAC,62,22,38,44,70,46
GPT-5.2,row_364,ENA,LAC,64,22,35,42,72,48
GPT-5.2,row_365,SSA,LAC,72,22,38,46,68,32
GPT-5.2,row_365,NEU,LAC,63,18,28,34,72,42
GPT-5.2,row_365,ESEA,LAC,72,18,32,38,70,34
GPT-5.2,row_365,CSA,LAC,68,22,34,38,70,33
GPT-5.2,row_365,NAWA,LAC,68,22,35,38,70,33
GPT-5.2,row_365,OCE,LAC,68,22,28,40,72,34
GPT-5.2,row_364,SSA,LAC,68,22,45,52,72,30
GPT-5.2,row_365,LAC,LAC,62,22,28,34,66,30
GPT-5.2,row_366,NEU,LAC,62,28,35,44,66,48
GPT-5.2,row_365,ENA,LAC,62,18,32,38,72,44
GPT-5.2,row_366,SSA,LAC,62,28,35,45,60,48
GPT-5.2,row_366,NAWA,LAC,62,28,35,40,70,55
GPT-5.2,row_366,CSA,LAC,62,22,34,46,68,52
GPT-5.2,row_366,ESEA,LAC,58,22,32,45,67,55
GPT-5.2,row_366,OCE,LAC,62,28,34,48,66,46
GPT-5.2,row_366,LAC,LAC,60,25,35,45,65,40
GPT-5.2,row_366,ENA,LAC,62,22,30,38,70,52
GPT-5.2,row_367,NEU,LAC,55,25,30,40,65,45
GPT-5.2,row_367,SSA,LAC,58,28,32,40,62,38
GPT-5.2,row_367,NAWA,LAC,62,28,32,45,66,38
GPT-5.2,row_367,CSA,LAC,55,25,30,40,65,50
GPT-5.2,row_367,OCE,LAC,58,22,28,40,72,48
GPT-5.2,row_367,ESEA,LAC,58,22,28,42,66,46
GPT-5.2,row_368,SSA,LAC,62,12,22,45,78,38
GPT-5.2,row_367,ENA,LAC,58,22,28,36,64,47
GPT-5.2,row_368,NEU,LAC,62,18,22,46,74,38
GPT-5.2,row_367,LAC,LAC,58,22,28,40,68,45
GPT-5.2,row_368,NAWA,LAC,62,12,24,48,74,28
GPT-5.2,row_368,CSA,LAC,62,18,28,55,72,38
GPT-5.2,row_368,LAC,LAC,62,12,18,54,78,42
GPT-5.2,row_368,OCE,LAC,62,12,18,46,78,42
GPT-5.2,row_368,ESEA,LAC,62,18,28,48,74,42
GPT-5.2,row_368,ENA,LAC,58,12,22,48,74,38
GPT-5.2,row_369,NEU,LAC,72,18,38,55,74,28
GPT-5.2,row_369,SSA,LAC,78,18,55,70,72,22
GPT-5.2,row_369,NAWA,LAC,72,18,45,58,74,28
GPT-5.2,row_369,ESEA,LAC,74,18,45,62,76,28
GPT-5.2,row_369,CSA,LAC,72,18,45,58,70,22
GPT-5.2,row_369,OCE,LAC,74,18,42,63,68,28
GPT-5.2,row_369,LAC,LAC,68,18,42,55,72,28
GPT-5.2,row_369,ENA,LAC,72,18,40,55,74,28
GPT-5.2,row_370,SSA,LAC,62,18,35,46,74,44
GPT-5.2,row_370,NEU,LAC,62,18,34,38,74,52
GPT-5.2,row_370,NAWA,LAC,62,18,34,36,74,46
GPT-5.2,row_370,CSA,LAC,68,18,32,40,75,45
GPT-5.2,row_370,OCE,LAC,62,18,30,44,76,52
GPT-5.2,row_370,LAC,LAC,62,18,28,40,72,38
GPT-5.2,row_371,NAWA,LAC,62,18,30,55,72,38
GPT-5.2,row_371,NEU,LAC,62,12,28,55,74,38
GPT-5.2,row_371,SSA,LAC,72,12,28,55,78,22
GPT-5.2,row_371,CSA,LAC,68,18,30,55,72,32
GPT-5.2,row_370,ENA,LAC,62,18,32,46,76,40
GPT-5.2,row_370,ESEA,LAC,62,18,32,44,76,46
GPT-5.2,row_371,ESEA,LAC,68,15,30,55,72,35
GPT-5.2,row_371,OCE,LAC,68,14,28,55,74,26
GPT-5.2,row_371,ENA,LAC,62,12,18,55,74,34
GPT-5.2,row_372,SSA,LAC,68,22,35,55,72,34
GPT-5.2,row_372,NAWA,LAC,63,18,32,52,70,28
GPT-5.2,row_372,CSA,LAC,68,22,32,55,64,34
GPT-5.2,row_371,LAC,LAC,55,15,25,52,75,40
GPT-5.2,row_372,NEU,LAC,72,18,32,54,68,30
GPT-5.2,row_372,ESEA,LAC,66,22,32,54,68,36
GPT-5.2,row_372,ENA,LAC,62,18,28,44,66,34
GPT-5.2,row_373,NAWA,LAC,62,18,28,34,76,46
GPT-5.2,row_372,LAC,LAC,62,22,32,55,68,38
GPT-5.2,row_372,OCE,LAC,65,20,30,55,70,35
GPT-5.2,row_373,NEU,LAC,58,15,30,35,75,45
GPT-5.2,row_373,SSA,LAC,62,18,34,36,74,46
GPT-5.2,row_373,CSA,LAC,62,18,32,41,74,43
GPT-5.2,row_373,ESEA,LAC,56,18,32,28,74,46
GPT-5.2,row_373,OCE,LAC,62,18,34,48,74,36
GPT-5.2,row_373,ENA,LAC,55,18,30,28,72,45
GPT-5.2,row_374,NEU,LAC,55,20,35,60,65,35
GPT-5.2,row_373,LAC,LAC,58,18,32,28,74,46
GPT-5.2,row_374,SSA,LAC,62,22,35,58,64,28
GPT-5.2,row_374,NAWA,LAC,62,22,34,58,64,28
GPT-5.2,row_374,OCE,LAC,62,18,35,58,70,32
GPT-5.2,row_374,CSA,LAC,62,22,38,64,68,34
GPT-5.2,row_374,ESEA,LAC,62,18,32,55,68,34
GPT-5.2,row_374,LAC,LAC,55,20,35,62,70,40
GPT-5.2,row_375,NEU,LAC,45,20,25,35,65,55
GPT-5.2,row_374,ENA,LAC,58,18,35,62,68,32
GPT-5.2,row_375,NAWA,LAC,55,20,35,40,70,50
GPT-5.2,row_375,SSA,LAC,55,20,35,30,70,45
GPT-5.2,row_375,ESEA,LAC,62,18,35,38,72,44
GPT-5.2,row_375,CSA,LAC,55,20,35,40,70,50
GPT-5.2,row_375,OCE,LAC,55,20,30,35,65,45
GPT-5.2,row_375,ENA,LAC,55,20,30,35,70,55
GPT-5.2,row_376,NEU,LAC,42,18,30,34,67,58
GPT-5.2,row_376,NAWA,LAC,45,20,25,30,70,60
GPT-5.2,row_376,SSA,LAC,45,20,25,30,70,55
GPT-5.2,row_376,CSA,LAC,45,20,25,35,70,60
GPT-5.2,row_377,SSA,CSA,58,12,28,18,78,66
GPT-5.2,row_376,OCE,LAC,45,20,25,30,65,55
GPT-5.2,row_376,ESEA,LAC,45,20,25,35,65,55
GPT-5.2,row_376,ENA,LAC,45,20,25,35,70,60
GPT-5.2,row_376,LAC,LAC,45,20,25,35,70,55
GPT-5.2,row_377,NEU,CSA,45,15,20,20,75,70
GPT-5.2,row_377,NAWA,CSA,55,15,25,20,75,70
GPT-5.2,row_377,OCE,CSA,55,15,25,20,75,70
GPT-5.2,row_377,CSA,CSA,55,15,25,20,75,65
GPT-5.2,row_377,ESEA,CSA,45,15,25,20,78,72
GPT-5.2,row_378,NEU,CSA,62,38,34,46,58,44
GPT-5.2,row_377,LAC,CSA,45,12,18,15,78,72
GPT-5.2,row_377,ENA,CSA,45,15,20,18,75,70
GPT-5.2,row_378,NAWA,CSA,68,45,35,50,58,40
GPT-5.2,row_378,ESEA,CSA,67,45,38,52,58,44
GPT-5.2,row_378,CSA,CSA,68,42,38,55,60,45
GPT-5.2,row_378,LAC,CSA,62,38,34,46,58,44
GPT-5.2,row_378,OCE,CSA,62,38,35,52,58,42
GPT-5.2,row_379,NEU,CSA,62,28,32,42,63,48
GPT-5.2,row_379,SSA,CSA,62,28,40,45,62,48
GPT-5.2,row_378,ENA,CSA,65,45,35,50,60,45
GPT-5.2,row_379,CSA,CSA,62,30,35,42,65,48
GPT-5.2,row_379,NAWA,CSA,62,28,38,42,64,52
